id,err_C_1,err_C_2,err_C_3,err_C_4,err_phi_21,err_phi_31,err_phi_41,err_[Fe/H],err_BV_0,err_log T_eff,err_M_v,err_log L,err_mass,err_log g
V002,0.006796017956091493,0.0059838974239377635,0.0061908148933413724,0.006279343901516844,0.08327716681557311,0.14876752814877228,0.22052790389713958,0.20009232806799435,0.0027955407461262524,0.0016649641110913045,0.009368407080962092,0.0037473628323848366,0.013914347278875486,0.01587468035124619
V006,0.010014757570665226,0.013757983138708253,0.01297245186346236,0.012976525355275121,0.1276457559740312,0.18021954576158786,0.23241136519359695,0.2423952960621421,0.004926753035351816,0.0023228709374717533,0.01574558071146813,0.006298232284587251,0.019440440848206474,0.022448388373280753
V008,0.007088942125762809,0.006944501605901214,0.007399112637425207,0.0069047007980709745,0.07776158344242627,0.10490763149404297,0.14070150680654347,0.14110076463845095,0.003102129897093957,0.0014047543409459555,0.010212210164418698,0.004084884065767479,0.011867789195679452,0.013751510984555518
V009,0.0035853075134922906,0.00363196726423878,0.0036060110788211095,0.003731878485188525,0.03603267145161183,0.055216995893199054,0.08746710156340136,0.07426686016080428,0.0015413167624246185,0.000718735290162018,0.005099225471745033,0.0020396901886980136,0.006068442248175087,0.0070179494200582355
V012,0.008890985051667532,0.007810145104257346,0.0075718678856093215,0.009898077118139533,0.09009377002918335,0.14989896033425817,0.22456645555371174,0.20161410387908882,0.003558989855823501,0.0018179846057234511,0.012026955671417023,0.00481078226856681,0.015337925960351146,0.01764303509113808
V013,0.0068379475213711524,0.006839022379622389,0.006216993953153701,0.006140541795239212,0.04949160141034084,0.07544235542374902,0.09930939130735822,0.10146996992519791,0.0028105051586485544,0.0011504369612884474,0.00942085738374015,0.0037683429534960604,0.00984431006320389,0.011501605647301525
V015,0.01149640374588636,0.011594492502834484,0.01182752728379069,0.012498358318589286,0.13899552617029695,0.23913858923392337,0.36316211876997884,0.32164143708722676,0.004995774643940913,0.0027671155236970416,0.016478013890279336,0.006591205556111734,0.023137066525225587,0.02648166707779922
V019,0.008879141400486295,0.008976590618129636,0.009106524134547623,0.008840539879296084,0.05817159646286929,0.08006732891158606,0.11293983071250134,0.10769055793610388,0.0038526803600709664,0.0014516412444380556,0.012712901789499515,0.005085160715799806,0.012446989128652126,0.014645907097723803
V020,0.005456788919799535,0.00494468957727872,0.0049739710858058535,0.0048999639444071,0.04753226712075337,0.06683077630452536,0.11283042436634473,0.08988739582849858,0.0022452429966740967,0.0009584312889761238,0.0075236510930021105,0.003009460437200844,0.008171647581167034,0.009514731992278347
V021,0.01247786240922182,0.012067155328478093,0.010266865802949462,0.01191201006118611,0.11067257501461047,0.1597052958570894,0.16431272473708763,0.21480362363858227,0.004929777041041219,0.0021864790326209704,0.0167282344909995,0.0066912937963998,0.018651636650040344,0.021659824822844825
V022,0.0058761335268174425,0.006113388320850471,0.005926073336883742,0.005579889954742042,0.05260232336883143,0.08825605673591114,0.1711881927592253,0.11870440245298065,0.002529355985695286,0.0011635201352761535,0.008365006943347577,0.003346002777339031,0.009831453951991061,0.011380408036585058
V023,0.004712036868249595,0.005606353094778381,0.00454447824971546,0.0050349480595538836,0.08479563369337173,0.1313063702188511,0.24086558505467134,0.17660707254581548,0.001987011073371225,0.0013920055182613067,0.006610173396636285,0.0026440693586545134,0.011553586088661855,0.013095011419903966
V025,0.007153164089005569,0.005686365295886661,0.0052321695940700415,0.0058242472889324624,0.05682853769083772,0.06896272155326856,0.10476261015619899,0.09275486177005499,0.0027134888665276326,0.001088575817300406,0.00933093819240689,0.0037323752769627557,0.009412406650182456,0.011021977187268248
V029,0.014109491151654803,0.01262008619493517,0.012922336460746756,0.012163290891480999,0.09724518749696348,0.20157645474530295,0.363732010971103,0.27112033486615356,0.005817138165377837,0.0026665292868624678,0.019481071330690203,0.007792428532276081,0.022609280207600904,0.026185254418079815
V032,0.014338041840688587,0.014978664587189005,0.013736622579199399,0.013705835171473921,0.2824427041161043,3.3198288297687855,2.9174219160761905,4.465169778639699,0.006028240795267916,0.031316404017185384,0.02007147506026309,0.008028590024105239,0.2560742059913061,0.285184031462027
V033,0.007688196271580257,0.007899696014459778,0.007280201908584887,0.006961422171452192,0.06193214336127794,0.0974590018560739,0.15736330454327016,0.13108235901661175,0.0032157268854317352,0.0013835217638285653,0.010723212587016797,0.004289285034806719,0.011771868336823782,0.013696750336672128
V035,0.010477257689986455,0.010169992176811886,0.01006867062311103,0.009490847398220332,1.5825693741063673,0.6395421321495037,0.7996944816662314,0.8601841703132912,0.004411072159893066,0.006186546770064595,0.014681104156221515,0.005872441662488606,0.05076824704330917,0.0567826932607194
V036,0.01251088388336648,0.01356196747616364,0.01540928872175421,0.01381152358750282,0.13720771988676342,0.19330631232273696,0.240252430316464,0.25999699204664245,0.005976524287373202,0.002648734760131717,0.019233802957213452,0.007693521182885381,0.02227465511462007,0.02583801969848418
V044,0.011921536011063653,0.012966979459932427,0.012080117075853021,0.012516443314379618,0.16825764161579254,0.2513040630577768,0.30998916148317845,0.33800396753100087,0.005143105071196617,0.00288802490195118,0.016998360387252998,0.006799344154901199,0.024142040204472547,0.02761376815140954
V045,0.01313258003266415,0.012640163273272945,0.013848753811391116,0.01477493118904198,0.13562763815984855,0.20536485622477735,0.22905260600739497,0.27621573327452986,0.005775897943068269,0.0026828087990224928,0.01898794108672971,0.007595176434691884,0.022621673136513188,0.02616459839942401
V046,0.016090719619751035,0.01818220826293766,0.016477220572224748,0.01787153489382089,0.15924483638194262,0.29603385237569546,0.2731021662062773,0.3981655328641785,0.006976616505280593,0.0035797882004258022,0.02302589957178868,0.00921035982871547,0.03004501119111182,0.03453362944445566
V047,0.010299053767628259,0.009887800818398605,0.00965553685267904,0.00999539279363088,0.12663515365572967,0.17096029766091264,0.24522097899410672,0.22994160808113343,0.004288971141799674,0.002120867639940763,0.01432052154886165,0.00572820861954466,0.017881302645585472,0.020603946976985116
V049,0.005614768142566795,0.006216385636539374,0.006337243798501036,0.0067137946249594205,0.10833522960623623,0.15183412085881293,0.20398737027065067,0.20421689404437302,0.002556616187844431,0.0016496153378545916,0.00832734569289469,0.0033309382771578755,0.013690273158748056,0.015558226800427318
V052,0.007675269937843656,0.008198922146922917,0.008230354838881498,0.008580342027234381,0.07849631778785733,0.09347726090354136,0.12138536622937679,0.12572691642704711,0.003403914565384668,0.0014056686010776316,0.01116488138746149,0.004465952554984595,0.011938540321066598,0.013931544949430236
V055,0.012278203165395199,0.011560020828376897,0.011906540116620382,0.01248988075191321,0.14352975057480535,0.2137903050885113,0.5003857547711502,0.28754797415046623,0.005190346040274161,0.002616242164180588,0.0172543405734915,0.006901736229396599,0.022012241917464464,0.02533156778013012
V056,0.016034127961324307,0.020754855127501196,0.018007220085483326,0.01915011588350651,0.18693326041096162,0.3791673476794235,0.3633309636228765,0.5099800952903744,0.0072817973979949135,0.004271030911240957,0.023734325976732952,0.009493730390693182,0.03556001470370077,0.0405772453867312
V060,0.010462877042213931,0.012684542915912873,0.012425628083701944,0.012337158685386308,0.1677381584438573,0.2659450956273222,0.38823377042188933,0.3576961630377669,0.004896897756096357,0.002959000227345997,0.015838794984360173,0.006335517993744069,0.024583022695520863,0.02800990379534509
V063,0.025605531227279012,0.02163644174009421,0.021666300236901158,0.012887115316607441,0.287678895936957,0.15399939613422786,0.36825636385616783,0.20712919391145504,0.010224122744944357,0.0035973031079946666,0.03457756795310401,0.013831027181241603,0.03137136301143261,0.03718210812334254
V065,0.004894254136102014,0.005369381555288477,0.004725075862913327,0.005647588664674185,0.07679923886813923,0.12016198262180912,0.18585726436143168,0.16161787444335038,0.002064804495185173,0.0013122289131184866,0.006868046485822526,0.0027472185943290105,0.01092628071262878,0.012429076222430079
V069,0.008903017481351748,0.007326890138118944,0.007554000820989487,0.00740355111774384,0.22219645458158802,0.3926200728448026,0.6753464861619534,0.5280740046673259,0.003558677774788221,0.0038700541576454327,0.012031334796365659,0.004812533918546264,0.03186377039174984,0.03575048885295208
V072,0.01746162972154739,0.016933405002759572,0.015263090125104309,0.014706786736180153,0.3260559679274969,1.0647211569992512,0.7882377789660076,1.4320499622845249,0.007061950054155745,0.010279028493038515,0.023788612262544147,0.009515444905017658,0.08435681137201577,0.09432470590871428
V078,0.009761932236758484,0.009220598658812943,0.007869805521512292,0.009476499417929834,0.09765279107577578,0.10891197523888627,0.11708367459551874,0.14648660741103173,0.003827916607242918,0.0016033508624138065,0.013020505073577326,0.00520820202943093,0.013755154837492276,0.016045603659283286
V097,0.007220040651931549,0.0069055513021117265,0.007230622836282247,0.006349880602319276,0.07916357487717765,0.11194594358380172,0.15861484969542775,0.150567303535335,0.003097640308784648,0.0014511175153445895,0.010253944457906453,0.004101577783162581,0.0122503135749264,0.014162803242606901
V102,0.004774234808187702,0.00550799477845299,0.004974257827236875,0.00488966258825257,0.1392524828507809,0.20427120771147694,0.2857684882161516,0.27474478102698796,0.002087396112557546,0.0020372835593633057,0.0068733632541031885,0.002749345301641275,0.016775962688687605,0.018852061227885082
V103,0.015138378280326695,0.010139207325767279,0.01260073796229911,0.013361559077542523,0.4322454578136072,0.5137966925005628,0.528862435816886,0.6910565531891368,0.006006878546668691,0.005209758734732072,0.020355167279853897,0.008142066911941559,0.043075929870035126,0.04853961644834651
V123,0.0022893349230541623,0.0022408324314191724,0.0019236243576664293,0.0021861822402833913,0.3984321969375184,1.0670947422071748,0.6848220375404015,1.4352424284571392,0.0009116637482635633,0.010050984805408551,0.003085816578454985,0.0012343266313819942,0.08216948294361172,0.09148608756740172
