id,err_C_1,err_C_2,err_C_3,err_C_4,err_phi_21,err_phi_31,err_phi_41,err_[Fe/H],err_log T_eff,err_M_v,err_log L,err_mass,err_log g
V003,0.0021742845178641637,0.0017147009388326444,0.0019086522531629481,0.001834654310458828,0.04436786639450807,0.0832125065376765,0.16808535002809805,0.0014380961133774928,0.00046599005644313494,0.008389013237549063,1.1260086895963744e-05,0.009153375732093485,0.009341239843066704
V004,0.0022043864890487,0.0024007613301393433,0.0025133271070510647,0.002267626257925706,0.02789126349366596,0.08122721008361065,0.11146747523775091,0.001294479298702022,0.00045487239206855155,0.010158534177715013,1.6511330662368646e-05,0.008934993119383148,0.009118383461805228
V005,0.0025944589615235544,0.002341847994026449,0.002660154884679773,0.002421946383279875,0.05571352682342357,0.13378374861732464,0.24944433510325803,0.0034803883183302047,0.0007491890214082747,0.01104584812953308,1.9521721744113505e-05,0.014716212366939535,0.015018250049964642
V007,0.005074627880717773,0.005938394953548988,0.006121357400724555,0.004510485419658107,0.11783373287983187,0.16941339537163166,0.869762834139164,0.006104662724357548,0.0009487150449850165,0.020717371423438942,6.86735165914759e-05,0.018635473511057654,0.019018058597514816
V010,0.004198418838101438,0.004338200725058423,0.004062799860098183,0.004235716561908863,0.10353367322349108,0.2118788238157993,0.5257070421318222,0.008669456485359368,0.0011865214658752878,0.01937926823439319,6.008896596808976e-05,0.02330667065402137,0.023785075965457363
V011,0.004188873489646422,0.004502303613488099,0.004479394728557461,0.004806843005530629,0.07554030654000575,0.15507674197665028,0.24763064761646436,0.004991829625911099,0.0008684297843096445,0.021632895486605665,7.48771467415046e-05,0.017058441636523564,0.01740869789209412
V016,0.01484497233863951,0.019297678839740023,0.017870725892786703,0.017418371575883964,0.29083208370803004,1.4854910344032901,0.9010341436167031,0.6856917015860373,0.008318749888402482,0.07850940855979967,0.000986196357185527,0.1634040138468764,0.16676051666931785
V018,0.0032377300131644854,0.0028449451177023333,0.003250728497202647,0.0030156530243717504,0.08334817134088465,0.19156269077672763,0.8151272358508457,0.007270107516668009,0.0010727510967635905,0.013903009350704971,3.092698704092637e-05,0.02107189600399243,0.021504382723791897
V024,0.003130970536423654,0.0027632230304111254,0.003109764834871242,0.0028749475940998293,0.07685214261992986,0.14436429064539008,0.8000472512432317,0.004020855446248492,0.0008084400542676412,0.013224521451427032,2.7982074819080602e-05,0.01588007198839584,0.01620600735821916
V026,0.005698227809492621,0.007660790074066545,0.005020399043810891,0.007760509352462226,0.2755881293279801,0.3102449500057153,0.19556338131851267,0.03291061126927722,0.001737371738176196,0.036579297484161125,0.000214087200709561,0.03412694451247563,0.03482799942564764
V038,0.004924940190630512,0.003980151063680323,0.003604682922978665,0.0039846998682506836,0.0853811965399254,0.1889142896534666,0.4105889393449695,0.007062893681555607,0.0010579200442950797,0.01811381617223287,5.249765381143121e-05,0.02078057187639973,0.021207122403471244
V040,0.0025246317374953958,0.0023870587057419758,0.0023561755859143564,0.0022665648100181203,0.04840631511431595,0.11701536494807196,0.28112839892899416,0.0030143517752822973,0.0006552860708697514,0.010301988255650265,1.6980953923128954e-05,0.012871690162021943,0.01313587048256427
V041,0.005225096154227308,0.005223024100241805,0.005040730363726507,0.005055796084460652,0.1261126408859631,0.3210864831135992,1.2521791639567503,0.025168826152877334,0.0017980844019408614,0.023157760001809535,8.580509572822553e-05,0.035319513205507046,0.03604448773186391
V042,0.0031367515562445345,0.0030619054611587737,0.0031166570781754016,0.003199150861086788,0.05690614535411646,0.10207850676801862,0.36851337538350737,0.0018517235933731392,0.0005716396671916367,0.014445282808809348,3.338659126823726e-05,0.011228635763606942,0.011459132878274029
V048,0.01244580101650277,0.01287494634674082,0.012348591442931678,0.013050412073783501,0.18180454253230302,0.26584588150688915,0.37557579812649444,0.010067536816751606,0.0014887370439136522,0.05858389556195005,0.0005491316510741554,0.029243047035931856,0.029848262148585242
V050,0.006923220800698836,0.006893385324053834,0.0074548004608483735,0.007618625961124973,0.09961928550902446,1.238809952680025,0.39132067899425976,0.5625864366863367,0.006937335739173512,0.034162395693463354,0.0001867310847226822,0.13626909479752244,0.13906590919403067
V051,0.0074227862206626945,0.006853059555945473,0.006818795868196058,0.00706489785277921,0.26467820547863047,0.4225299991304772,0.698921043130186,0.052784221103863674,0.0023661680768884323,0.033506585434363176,0.00017963060279524461,0.04647829995773485,0.047432527404767395
V057,0.007256478004955176,0.007578199013882745,0.007391105313004117,0.007660422138123541,0.12735567927528837,0.28786631533625734,0.23970938724189822,0.017011240872636734,0.0016120514603349086,0.03452370577929279,0.00019070180171762796,0.031665294748659076,0.032315733277599026
V061,0.013057379272576641,0.016282220467802064,0.015652064272688584,0.017164804470739765,0.3933920584680467,1.583995787807685,0.49135356186714013,0.263155887102275,0.00887037645384766,0.0782698340950268,0.0009801867086820831,0.17423953668634992,0.17781820538287232
V064,0.008885142538669585,0.010385275601306225,0.008896304975100544,0.009049344397276787,0.15029186456777713,0.5506978188899111,0.3841600346725089,0.0735171569967149,0.003083907856170093,0.04078214359440255,0.00026610931778471493,0.06057676012384797,0.061820566835938916
V066,0.0028325153695070468,0.0030514859881480725,0.003272551775762111,0.002998623253822674,0.10204396171424296,0.11164505890077883,0.2200145329135529,0.0028077192680252645,0.0006252123878582082,0.014070482372735794,3.167655587223499e-05,0.012280956516964843,0.01253304212291154
V070,0.010041680877955875,0.009492161306541009,0.012805190238320175,0.011512529140568334,0.36666377214789736,0.36621393108067274,0.3788963669308637,0.026077299368884154,0.0020507980983464494,0.053678049464314634,0.0004610132790869455,0.0402835324739128,0.0411128676604197
V074,0.0033364635040942876,0.004254138827840736,0.003813532682633821,0.0038642897544218153,0.05066973061724952,0.5490639439766833,0.41539880300600635,0.05872361644747631,0.0030747580931149363,0.01732851555456397,4.8044392211962475e-05,0.060397033841904826,0.061636597914409855
V092,0.03681493043418331,0.03918000769037509,0.029935501593325982,0.03437671354204071,0.33195964349144946,0.6057819143997003,0.7655349318315888,0.07890985672612967,0.003392378754984846,0.1535694333937328,0.003773371339659541,0.06663601060639303,0.06810820786570917
V093,0.01695316604083653,0.014030521346840508,0.015375510515549345,0.016296855388448144,1.304470798597001,0.7043036542399658,0.6315484846181788,0.1200527311138198,0.003944100586502695,0.09244777193586363,0.0013674544857448733,0.0774734020465496,0.07907523523468087
V096,0.008593028276913176,0.007891581992855681,0.007955968630435831,0.0079922872915273,0.17554183754966474,0.22705398370085791,0.298909908971129,0.011453450783649639,0.0012715024209936962,0.03637128374972647,0.0002116592450564987,0.024975938280398464,0.02548940538984338
V099,0.009791949078796824,0.009872367845743227,0.00948738872536575,0.00937657450561712,0.7522432154476341,1.2354731749881684,1.0053804140541633,0.5764711422045545,0.006918649893415258,0.05323735710369892,0.00045347459062188196,0.13590204932279437,0.13869194681343994
V100,0.024348999381945506,0.01962886507736003,0.024005988833855667,0.021118332027054362,0.7796856832864589,1.013395138150976,0.6566596380875646,0.14349680787987965,0.005675012868996483,0.09998303214450198,0.0015994570746893624,0.11147346525886521,0.1137725101101563
V107,0.012987123334066885,0.012490269697734199,0.013287170866811844,0.012496436322959005,0.3195492402905439,0.6898677229292259,0.7765769151142721,0.0643704674015898,0.00386325927482411,0.05732274274214974,0.0005257434936772289,0.07588544953946565,0.07744465258247443
V111,0.009752119518643743,0.009018487661733238,0.009716347343928016,0.009177803323879827,0.6278640329004963,0.6601494146221959,0.7076212384116135,0.18730960980968986,0.0036968370769677834,0.04928442308869504,0.00038863269746967937,0.07261643584028739,0.07410778271881042
V113,0.0034212360368099356,0.0034860901022187377,0.0030042028830457564,0.003154433568171101,0.3285907211260873,0.4395457412426371,0.4995190747687268,0.03860279726080672,0.0024614564410584162,0.020144771245639324,6.492988936626191e-05,0.0483500317261058,0.04934237599453048
V114,0.016346086789467716,0.018524045976890252,0.01998173213408696,0.014928764873153628,0.39214021151303985,0.5587369149055663,0.8190800329060843,0.09741549340162178,0.003128927293903027,0.06859374551057365,0.0007528163077070947,0.06146106101206627,0.06272696174126867
V118,0.008595438279360969,0.009161488565138346,0.0074983884047920635,0.007611081993350653,0.35269788985685024,0.3173181557229475,0.49327984072110126,0.01943454402455498,0.001776981816947835,0.03723458892794231,0.00022182633802125506,0.03490499722413382,0.03562205311580512
